      7.372000e+01       7.472000e+01       7.474000e+01       7.256000e+01       7.126000e+01       7.172000e+01       6.764000e+01       5.742000e+01       5.148000e+01       5.012000e+01
      7.442000e+01       7.452000e+01       7.442000e+01       7.206000e+01       7.012000e+01       7.110000e+01       6.606000e+01       5.572000e+01       5.110000e+01       5.012000e+01
      7.464000e+01       7.494000e+01       7.258000e+01       7.020000e+01       7.070000e+01       7.056000e+01       6.454000e+01       5.508000e+01       5.076000e+01       5.008000e+01
      7.452000e+01       7.472000e+01       7.118000e+01       6.944000e+01       7.068000e+01       7.074000e+01       6.288000e+01       5.376000e+01       5.030000e+01       5.010000e+01
      7.460000e+01       7.360000e+01       7.078000e+01       6.904000e+01       7.064000e+01       6.970000e+01       6.088000e+01       5.312000e+01       5.024000e+01       5.010000e+01
      7.454000e+01       7.220000e+01       6.974000e+01       6.946000e+01       7.094000e+01       6.930000e+01       5.974000e+01       5.246000e+01       5.024000e+01       5.010000e+01
      7.386000e+01       7.004000e+01       6.910000e+01       6.996000e+01       7.046000e+01       6.840000e+01       5.838000e+01       5.166000e+01       5.012000e+01       5.010000e+01
      7.152000e+01       6.852000e+01       6.758000e+01       6.986000e+01       7.130000e+01       6.726000e+01       5.692000e+01       5.142000e+01       5.012000e+01       5.010000e+01
      5.914000e+01       6.694000e+01       6.874000e+01       7.000000e+01       7.068000e+01       6.538000e+01       5.568000e+01       5.088000e+01       5.012000e+01       5.010000e+01
      5.990000e+01       5.950000e+01       6.912000e+01       7.042000e+01       7.042000e+01       6.402000e+01       5.448000e+01       5.046000e+01       5.008000e+01       5.010000e+01
      5.666000e+01       6.634000e+01       6.850000e+01       7.090000e+01       7.056000e+01       6.194000e+01       5.360000e+01       5.042000e+01       5.010000e+01       5.010000e+01
